appid,Title,Type,Price,Rating,Required_Age,Is_Multiplayer,Genre
414120,Modbox,game,14.99,-1,0,0,Casual
414120,Modbox,game,14.99,-1,0,0,Early Access
414120,Modbox,game,14.99,-1,0,0,Indie
414120,Modbox,game,14.99,-1,0,0,Simulation
363020,IPackThat,game,64.99,-1,0,0,Animation & Modeling
363020,IPackThat,game,64.99,-1,0,0,Utilities
374050,Infinium Strike,game,0,-1,0,0,Action
374050,Infinium Strike,game,0,-1,0,0,Casual
374050,Infinium Strike,game,0,-1,0,0,Indie
374050,Infinium Strike,game,0,-1,0,0,Strategy
306410,Crystals of Time,game,4.99,-1,0,0,Casual
306410,Crystals of Time,game,4.99,-1,0,0,Indie
363050,Let s Explore the Airport (Junior Field Trips),game,6.99,-1,0,0,Casual
375770,Quantum Conscience,game,4.99,-1,0,0,Adventure
347480,Super Pixalo,game,4.99,-1,0,0,Indie
234330,Marvel Puzzle Quest,game,0,-1,0,1,Casual
234330,Marvel Puzzle Quest,game,0,-1,0,1,Free to Play
234330,Marvel Puzzle Quest,game,0,-1,0,1,RPG
337410,Karos,game,0,-1,0,1,Free to Play
337410,Karos,game,0,-1,0,1,Massively Multiplayer
337410,Karos,game,0,-1,0,1,RPG
350310,BLADESTORM: Nightmare,game,59.99,-1,0,0,Action
254440,Pool Nation,game,9.99,-1,0,1,Casual
254440,Pool Nation,game,9.99,-1,0,1,Indie
254440,Pool Nation,game,9.99,-1,0,1,Simulation
254440,Pool Nation,game,9.99,-1,0,1,Sports
254440,Pool Nation,game,9.99,-1,0,1,Strategy
343410,inSynch,game,4.99,-1,0,0,Indie
4780,Medieval II: Total War™ Kingdoms,game,11.99,85,0,1,Strategy
417980,Planet Diver,game,3.99,-1,0,0,Action
417980,Planet Diver,game,3.99,-1,0,0,Indie
65980,Sid Meier s Civilization®: Beyond Earth™,game,39.99,81,0,1,Strategy
271820,Card City Nights,game,3.99,-1,0,0,Adventure
271820,Card City Nights,game,3.99,-1,0,0,Casual
271820,Card City Nights,game,3.99,-1,0,0,Indie
359040,The Music Machine,game,4.99,-1,0,0,Adventure
359040,The Music Machine,game,4.99,-1,0,0,Indie
372360,Tales of Symphonia,game,19.99,-1,0,0,RPG
92900,Agricultural Simulator 2011: Extended Edition,game,4.99,-1,0,1,Simulation
467370,Escape This,game,0.99,-1,0,0,Casual
467370,Escape This,game,0.99,-1,0,0,Indie
467370,Escape This,game,0.99,-1,0,0,Strategy
214210,Cabela s® Hunting Expeditions,game,29.99,-1,0,0,Simulation
214210,Cabela s® Hunting Expeditions,game,29.99,-1,0,0,Sports
270050,Quest of Dungeons,game,4.99,-1,0,0,Adventure
270050,Quest of Dungeons,game,4.99,-1,0,0,Indie
270050,Quest of Dungeons,game,4.99,-1,0,0,RPG
299110,Theatre Of The Absurd,game,4.99,-1,0,0,Adventure
6800,Commandos: Behind Enemy Lines,game,3.99,-1,0,1,Action
412940,Back to Dinosaur Island,game,0,-1,0,0,Adventure
412940,Back to Dinosaur Island,game,0,-1,0,0,Free to Play
412940,Back to Dinosaur Island,game,0,-1,0,0,Simulation
250540,C-Wars,game,12.99,-1,0,0,Action
250540,C-Wars,game,12.99,-1,0,0,Early Access
250540,C-Wars,game,12.99,-1,0,0,Indie
250540,C-Wars,game,12.99,-1,0,0,RPG
250540,C-Wars,game,12.99,-1,0,0,Strategy
