appid,SUM(Games_1.playtime_forever)
10,54463946655.0
20,211671479.0
30,1051077470.0
40,21681245.0
50,115072066.0
60,11305212.0
70,431728739.0
80,5434443803.0
92,31996.0
100,189110979.0
130,50134107.0
211,135336180.0
220,2111310256.0
240,56604877648.0
280,100896189.0
300,3567419126.0
320,1483328611.0
340,97691981.0
360,26038420.0
380,429727015.0
400,1190452495.0
420,592809782.0
440,37996124289.0
500,5100764872.0
550,11808613409.0
570,56345499204.0
620,2670540354.0
630,20151132.0
730,4892477238.0
852,4776.0
1002,497558.0
1200,432027072.0
1210,8528.0
1230,8077986.0
1250,3367838015.0
1270,96224.0
1280,177078503.0
1300,12942933.0
1309,87361.0
1313,3218176.0
1320,1249924.0
1500,14723482.0
1510,22068158.0
1520,33354593.0
1525,4671.0
1530,7545675.0
1600,4041130.0
1610,11021555.0
1630,9061473.0
1640,11804899.0
1670,40109.0
1690,27352439.0
1700,5380471.0
1840,55186525.0
1900,7717367.0
1920,1075616.0
1930,15952579.0
2100,86194430.0
2130,42894420.0
2200,9556723.0
2210,8163895.0
2270,3078547.0
2280,4413524.0
2290,1902175.0
2300,3028237.0
2310,10339317.0
2320,13719637.0
2330,119846.0
2340,116323.0
2350,603421.0
2360,820435.0
2370,226343.0
2390,1463178.0
2400,43261275.0
2420,14326673.0
2430,1585538.0
2450,24904483.0
2500,9162986.0
2520,403951.0
2525,156956.0
2540,428651.0
2545,232793.0
2550,540294.0
2570,208228.0
2590,4350996.0
2600,114356041.0
2610,2382536.0
2620,22947288.0
2630,59471819.0
2640,14460001.0
2680,64475.0
2690,3022351.0
2700,88632694.0
2710,865983.0
2720,582675.0
2760,270531484.0
2780,9208534.0
2790,393971.0
2800,15886191.0
2810,48881244.0
2820,367934915.0
2840,7122251.0
2850,1451485.0
2900,1026937.0
2910,4785300.0
2920,1297626.0
2930,878689.0
2990,30118028.0
3000,4129253.0
3010,3884646.0
3020,3968746.0
3030,2727.0
3040,92.0
3050,591050.0
3130,19961555.0
3150,171857.0
3160,1964698.0
3170,61019739.0
3200,4039864.0
3220,3176713.0
3230,983531.0
3260,1684649.0
3270,3860923.0
3300,33465436.0
3310,17199373.0
3320,9584294.0
3330,46584707.0
3340,4056019.0
3350,5121259.0
3360,3846305.0
3370,17727959.0
3380,7257355.0
3390,3654682.0
3400,1410825.0
3410,1380101.0
3420,1199555.0
3430,868008.0
3440,2246140.0
3450,9433091.0
3460,1658943.0
3470,10942843.0
3480,122613548.0
3483,26214.0
3490,3534195.0
3500,3305921.0
3510,4243120.0
3520,3585706.0
3530,5927027.0
3540,79905650.0
3560,23661650.0
3570,2930184.0
3580,848664.0
3590,1286259782.0
3600,6700170.0
3610,3245367.0
3620,53904202.0
3630,8030603.0
3650,5678211.0
3700,46369942.0
3710,1395809.0
3720,57982590.0
3730,13347881.0
3800,1151483.0
3810,480254.0
3820,979083.0
3830,129409262.0
3900,312274826.0
3910,223360710.0
3920,58987804.0
3960,2652471.0
3970,4404265.0
3980,11562304.0
3990,60181554.0
4000,10731666438.0
4100,2078734.0
4230,18520278.0
4290,115764.0
4300,563310.0
4320,4702524.0
4400,36332.0
4410,437855.0
4420,2893669.0
4460,3818555.0
4470,1686528.0
4500,212718411.0
4520,1322165.0
4530,1006875.0
4540,142434065.0
4550,438232748.0
4560,711719728.0
4570,67785585.0
4580,168686352.0
4600,453990.0
4700,951678441.0
4720,1295011.0
4730,139830.0
4760,769313646.0
4770,33563049.0
4790,21990.0
4800,3350508.0
4830,8269823.0
4850,30559780.0
4870,3636465.0
4880,2946472.0
4890,8078561.0
4900,7382852.0
4920,410920487.0
6000,33986535.0
6010,13996247.0
6020,99474586.0
6030,35860991.0
6040,10451777.0
6060,184533789.0
6080,806968.0
6090,858979.0
6100,5439492.0
6120,17799725.0
6200,7327839.0
6210,1276643.0
6220,8278949.0
6250,12474976.0
6270,293101.0
6290,804346.0
6300,8387388.0
6310,20858701.0
6330,11486806.0
6340,9125968.0
6350,6056782.0
6360,7516594.0
6370,1135840.0
6400,2494609.0
6420,11728988.0
6510,56485888.0
6520,9586.0
6550,4583521.0
6570,484150.0
6600,553852.0
6800,8574618.0
6810,2344716.0
6820,215920.0
6830,12549648.0
6840,4339328.0
6850,23768955.0
6860,122475636.0
6870,5482672.0
6880,12902174.0
6900,8340820.0
6910,117452915.0
6920,4992711.0
6980,32970917.0
7000,15825103.0
7010,886721.0
7020,1425143.0
7060,1111529.0
7110,28961812.0
7200,157691402.0
7210,5749809.0
7220,4123201.0
7240,8.0
7250,279685.0
7260,2838372.0
7340,364493.0
7400,717971.0
7420,100430.0
7440,760707.0
7450,2593522.0
7470,2449370.0
7500,19664241.0
7510,1093023.0
7520,120589634.0
7530,798199.0
7600,40058299.0
7610,34847812.0
7620,32524559.0
7650,41912234.0
7660,40442068.0
7670,296950107.0
7730,2197123.0
7740,275061894.0
7760,157756909.0
7770,1905071.0
7780,27615397.0
7800,2325832.0
7810,1613999.0
7830,118122241.0
7840,502563.0
7850,4299127.0
7860,4558311.0
7870,6798148.0
7880,5840964.0
7900,1284883.0
7910,1268047.0
7940,586513372.0
7970,1397640.0
7980,988517.0
7990,718867.0
8000,33347720.0
8010,69258.0
8040,1116490.0
8060,4443916.0
8080,6648159.0
8100,1602716.0
8140,28710204.0
8160,659016.0
8170,23293946.0
8190,1325547318.0
8200,6921518.0
8210,3877863.0
8220,2341804.0
8230,3476047.0
8240,2880848.0
8250,2412507.0
8260,3823480.0
8270,2746914.0
8280,2842305.0
8290,2511176.0
8300,2658372.0
8310,260232.0
8320,179566.0
8330,482953.0
8340,2204663.0
8350,1427228.0
8360,1023499.0
8370,761270.0
8380,657934.0
8400,8114132.0
8500,847087905.0
8600,426742256.0
8620,802955.0
8640,113080.0
8650,71896.0
8660,2380193.0
8690,340957.0
8740,60952.0
8790,689383.0
8800,668040490.0
8840,4422175.0
8850,181219996.0
8870,570743197.0
8880,13498757.0
8890,5841069.0
8930,23293574667.0
8970,705975.0
8980,2556028958.0
9000,940088.0
9010,15030639.0
9030,1067882.0
9040,1393546.0
9050,39085429.0
9060,1970433.0
9070,6478426.0
9160,889285.0
9180,3466933.0
9200,552986029.0
9310,30788120.0
9340,371728757.0
9350,31087784.0
9400,4518902.0
9420,134342593.0
9450,221321017.0
9460,31410341.0
9480,556104567.0
9500,4092920.0
9710,483652.0
9730,1078458.0
9740,6877693.0
9760,2786267.0
9800,1152181.0
9850,1623123.0
9860,25345770.0
9870,19574051.0
9880,152242208.0
9900,417457396.0
9930,258865708.0
9940,3094803.0
9960,189929.0
9970,287545.0
9980,880801.0
9990,556449.0
10000,13462262.0
10040,30443.0
10080,3283662.0
10090,430809413.0
10100,4005256.0
10110,2829493.0
10120,113632.0
10130,2074200.0
10140,642531.0
10150,112391379.0
10170,14226812.0
10180,4310306526.0
10190,28655493185.0
10220,7992466.0
10230,760960.0
10240,603700.0
10250,948410.0
10260,447704.0
10400,68664.0
10410,11238.0
10420,662982.0
10430,14716730.0
10440,5232.0
10460,404080.0
10470,20512.0
10480,931624.0
10490,89500.0
10500,10357200395.0
10510,75582.0
10520,161955.0
10530,4849806.0
10540,5794753521.0
10560,127607574.0
10590,80148213.0
10630,7470698.0
10650,452401.0
10660,581897.0
10680,437462243.0
10690,4773616.0
10699,
10700,2716841.0
11040,2056209.0
11050,1512827.0
11060,5297123.0
11120,9491563.0
11130,755926.0
11140,2844500.0
11150,1526816.0
11170,36051470.0
11180,800715.0
11190,4590266.0
11200,6010443.0
11230,286614.0
11240,3642025.0
11250,344.0
11260,6347408.0
11280,393151.0
11330,2405978.0
11340,1138282.0
11360,1457189.0
11370,1265543.0
11390,2820946.0
11420,6144408.0
11440,12409820.0
11450,68375229.0
11480,4277476.0
11500,10114668.0
11520,3254246.0
11550,1216507.0
11560,552541.0
11590,4929099.0
11610,1922402.0
11900,4263151.0
11920,2168863.0
12100,40082585.0
12110,101409888.0
12120,348531824.0
12130,2033332.0
12140,36716897.0
12150,30497942.0
12160,3978669.0
12170,5947377.0
12180,3904481.0
12190,51636.0
12200,58883545.0
12210,1633871063.0
12220,449547611.0
12230,1472418.0
12240,3256202.0
12250,15859678.0
12260,865075.0
12300,291181.0
12310,878486.0
12320,16035373.0
12330,12366472.0
12340,1102456.0
12360,32322557.0
12370,20850600.0
